+---------------------------------------------------------------------------------------------------+
|                                      Résultats du scénario 4                                      |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Méthode       | Temps d’exécution (s) | Nombre de points/image | Taux d’appariement correcte |
|  star-lucid_bf.L2  |         0.041         |        286.224         |            17.106           |
|  star-lucid_bf.L1  |         0.041         |        288.633         |            16.509           |
| star-lucid_bf.HAMG |          0.04         |        281.939         |            10.016           |
|  fast-lucid_bf.L2  |          0.26         |        3816.184        |            5.694            |
|  fast-lucid_bf.L1  |         0.252         |        3855.408        |            5.121            |
| fast-lucid_bf.HAMG |         0.206         |        4102.959        |            3.275            |
+--------------------+-----------------------+------------------------+-----------------------------+
+---------------------------------------------------------------------------------------------------+
|                                      Résultats du scénario 6                                      |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Méthode       | Temps d’exécution (s) | Nombre de points/image | Taux d’appariement correcte |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |         1.025         |        3405.469        |            86.94            |
| fast-brief_bf.HAMG |         0.142         |        3452.327        |            85.107           |
| star-latch_bf.HAMG |         0.106         |        351.306         |            81.753           |
| star-brief_bf.HAMG |         0.027         |         343.49         |            80.303           |
|     kaze_bf.L1     |         0.687         |        1319.429        |            78.436           |
| mser-latch_bf.HAMG |         0.754         |        143.306         |            75.955           |
|     kaze_bf.L2     |         0.679         |        1294.367        |            75.947           |
|  star-brief_bf.L1  |         0.028         |        316.878         |            74.094           |
| mser-freak_bf.HAMG |         0.625         |         114.98         |            73.881           |
|    akaze_bf.L1     |         0.135         |        901.918         |             73.5            |
|  fast-brief_bf.L1  |         0.189         |        2973.755        |            73.163           |
| mser-brief_bf.HAMG |         0.677         |        143.306         |            72.987           |
|     sift_bf.L1     |         0.224         |        1336.837        |            71.752           |
|  star-latch_bf.L1  |         0.109         |        300.429         |            70.22            |
|    akaze_bf.L2     |         0.131         |        871.082         |            70.217           |
|  fast-latch_bf.L1  |         1.079         |        2741.306        |            70.202           |
|    brisk_bf.L1     |         0.178         |        1638.143        |            69.618           |
|  mser-freak_bf.L1  |          0.63         |        113.592         |            69.106           |
| fast-freak_bf.HAMG |         0.259         |        2897.51         |            68.788           |
| star-freak_bf.HAMG |         0.037         |        265.184         |            68.758           |
|  star-brief_bf.L2  |         0.029         |        299.898         |             67.8            |
|     sift_bf.L2     |          0.2          |        1415.245        |            66.551           |
|    brisk_bf.L2     |         0.217         |        1604.755        |            65.473           |
|  mser-freak_bf.L2  |         0.619         |        112.612         |            65.302           |
|  mser-brief_bf.L1  |          0.67         |        141.388         |            64.931           |
|  mser-latch_bf.L1  |         0.752         |        134.082         |            62.799           |
|  star-freak_bf.L1  |         0.039         |        249.286         |            61.624           |
|  star-latch_bf.L2  |         0.111         |        272.265         |            61.138           |
|  fast-brief_bf.L2  |         0.202         |        2794.061        |            60.435           |
|     orb_bf.L1      |         0.027         |        197.857         |            60.27            |
|  mser-brief_bf.L2  |         0.667         |         138.51         |            59.708           |
|  fast-freak_bf.L1  |          0.25         |        2596.959        |            57.573           |
|  mser-latch_bf.L2  |         0.764         |        128.061         |            55.018           |
|  star-freak_bf.L2  |         0.045         |        245.633         |            54.584           |
|  fast-latch_bf.L2  |         1.092         |        2530.245        |            54.424           |
|     orb_bf.L2      |         0.033         |        190.959         |            50.758           |
|  fast-freak_bf.L2  |         0.441         |        2521.49         |            45.971           |
|  mser-lucid_bf.L2  |          0.68         |        172.755         |            18.204           |
|  mser-lucid_bf.L1  |         0.688         |        174.306         |            17.314           |
| mser-lucid_bf.HAMG |         0.683         |        170.816         |            13.181           |
|  star-lucid_bf.L2  |          0.04         |        271.082         |            11.103           |
|  star-lucid_bf.L1  |          0.04         |        272.673         |            10.802           |
| star-lucid_bf.HAMG |          0.04         |        271.082         |            7.893            |
|  fast-lucid_bf.L2  |         0.224         |        3360.653        |            4.289            |
|  fast-lucid_bf.L1  |         0.218         |        3403.408        |            4.252            |
| fast-lucid_bf.HAMG |         0.182         |        3649.837        |            2.977            |
+--------------------+-----------------------+------------------------+-----------------------------+
+---------------------------------------------------------------------------------------------------+
|                                      Résultats du scénario 7                                      |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Méthode       | Temps d’exécution (s) | Nombre de points/image | Taux d’appariement correcte |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |         1.022         |        2486.167        |            78.071           |
| star-latch_bf.HAMG |         0.107         |        283.125         |            75.27            |
| fast-brief_bf.HAMG |         0.138         |        2688.458        |            75.109           |
| star-brief_bf.HAMG |         0.028         |        291.062         |            72.047           |
|     kaze_bf.L1     |         0.708         |        1109.208        |            69.574           |
|     kaze_bf.L2     |         0.697         |        1096.333        |            67.782           |
| mser-latch_bf.HAMG |         0.764         |        118.229         |            66.829           |
| mser-freak_bf.HAMG |         0.631         |        102.125         |            65.333           |
|     sift_bf.L1     |         0.228         |        1175.312        |            63.401           |
| mser-brief_bf.HAMG |         0.682         |        123.854         |            62.677           |
|  star-brief_bf.L1  |          0.03         |        273.292         |            61.431           |
|  mser-freak_bf.L1  |         0.641         |        102.438         |            61.165           |
|    akaze_bf.L1     |         0.139         |        771.854         |            61.105           |
|    brisk_bf.L1     |         0.178         |        1474.438        |            60.959           |
|  fast-brief_bf.L1  |         0.193         |         2473.5         |            58.897           |
| star-freak_bf.HAMG |         0.039         |        232.625         |            58.152           |
|  mser-freak_bf.L2  |         0.635         |        103.104         |            57.121           |
|    akaze_bf.L2     |         0.137         |        753.104         |            56.974           |
|     sift_bf.L2     |         0.203         |        1284.667        |            56.903           |
|    brisk_bf.L2     |         0.222         |        1455.25         |            55.846           |
|  star-latch_bf.L1  |         0.112         |        253.271         |            55.824           |
| fast-freak_bf.HAMG |         0.266         |        2466.146        |            55.05            |
|  mser-brief_bf.L1  |         0.691         |        124.792         |            54.084           |
|  star-brief_bf.L2  |         0.035         |        266.292         |            52.863           |
|  fast-latch_bf.L1  |         1.087         |        2253.646        |            52.666           |
|     orb_bf.L1      |         0.033         |        186.042         |            49.809           |
|  star-freak_bf.L1  |         0.047         |        224.875         |            48.858           |
|  mser-latch_bf.L1  |         0.788         |        120.292         |            47.092           |
|  mser-brief_bf.L2  |          0.69         |         126.0          |            46.295           |
|  fast-brief_bf.L2  |         0.227         |        2460.229        |            43.999           |
|  star-latch_bf.L2  |          0.12         |        235.938         |            43.996           |
|  fast-freak_bf.L1  |         0.274         |        2274.854        |            41.921           |
|  star-freak_bf.L2  |         0.052         |        224.042         |            40.767           |
|     orb_bf.L2      |         0.038         |        181.688         |            40.742           |
|  mser-latch_bf.L2  |         0.784         |        117.208         |            38.23            |
|  fast-latch_bf.L2  |         1.114         |        2229.438        |            35.307           |
|  fast-freak_bf.L2  |         0.435         |        2295.667        |            29.517           |
|  mser-lucid_bf.L2  |         0.685         |        167.604         |            14.948           |
|  mser-lucid_bf.L1  |         0.697         |        168.312         |            14.12            |
| mser-lucid_bf.HAMG |         0.692         |        168.979         |            10.949           |
|  star-lucid_bf.L1  |          0.04         |        264.938         |            8.738            |
|  star-lucid_bf.L2  |          0.04         |        264.625         |            8.659            |
| star-lucid_bf.HAMG |          0.04         |         268.75         |            7.269            |
|  fast-lucid_bf.L2  |         0.223         |        3292.333        |             3.52            |
|  fast-lucid_bf.L1  |         0.216         |        3333.375        |            3.441            |
| fast-lucid_bf.HAMG |         0.182         |        3611.583        |            2.707            |
+--------------------+-----------------------+------------------------+-----------------------------+
